timestamp,optics_1,optics_2,optics_3,optics_4,optics_5,optics_6,optics_7,optics_8
0.000000,100.000000,100.569154,101.138032,101.706364,102.273885,102.840343,103.405502,103.969143
0.015625,100.033826,100.604381,101.174393,101.743599,102.311748,102.878600,103.443940,104.007568
0.031250,100.067386,100.639078,101.209968,101.779804,102.348348,102.915382,103.480708,104.044153
0.046875,100.100420,100.672991,101.244511,101.814742,102.383465,102.950482,103.515621,104.078734
0.062500,100.132671,100.705873,101.277787,101.848195,102.416897,102.983721,103.548519,104.111174
0.078125,100.163897,100.737492,101.309581,101.879965,102.448468,103.014943,103.579271,104.141365
0.093750,100.193867,100.767636,101.339697,101.909876,102.478023,103.044018,103.607772,104.169228
0.109375,100.222369,100.796109,101.367962,101.937779,102.505437,103.070846,103.633949,104.194717
0.125000,100.249209,100.822740,101.394227,101.963549,102.530613,103.095358,103.657757,104.217815
0.140625,100.274217,100.847381,101.418371,101.987092,102.553482,103.117511,103.679184,104.238536
0.156250,100.297248,100.869914,101.440301,102.008343,102.574009,103.137299,103.698248,104.256923
0.171875,100.318182,100.890247,101.459954,102.027267,102.592185,103.154741,103.714998,104.273052
0.187500,100.336931,100.908319,101.477296,102.043860,102.608037,103.169890,103.729512,104.287023
0.203125,100.353433,100.924097,101.492327,102.058148,102.621619,103.182828,103.741894,104.298965
0.218750,100.367658,100.937581,101.505074,102.070189,102.633014,103.193662,103.752277,104.309029
0.234375,100.379607,100.948802,101.515596,102.080070,102.642334,103.202528,103.760817,104.317390
0.250000,100.389311,100.957820,101.523982,102.087903,102.649717,103.209585,103.767692,104.324241
0.265625,100.396832,100.964725,101.530348,102.093830,102.655326,103.215016,103.773098,104.329789
0.281250,100.402259,100.969633,101.534835,102.098014,102.659344,103.219018,103.777248,104.334258
0.296875,100.405713,100.972689,101.537610,102.100643,102.661975,103.221809,103.780367,104.337877
0.312500,100.407337,100.974061,101.538862,102.101921,102.663436,103.223618,103.782691,104.340886
0.328125,100.407300,100.973937,101.538797,102.102070,102.663959,103.224682,103.784460,104.343522
0.343750,100.405794,100.972528,101.537639,102.101323,102.663786,103.225246,103.785918,104.346024
0.359375,100.403029,100.970057,101.535623,102.099923,102.663164,103.225555,103.787307,104.348627
0.375000,100.399230,100.966763,101.532994,102.098121,102.662341,103.225857,103.788864,104.351555
0.390625,100.394636,100.962891,101.530005,102.096167,102.661566,103.226390,103.790818,104.355022
0.406250,100.389496,100.958696,101.526909,102.094313,102.661082,103.227387,103.793386,104.359227
0.421875,100.384065,100.954433,101.523959,102.092804,102.661124,103.229068,103.796770,104.364351
0.437500,100.378598,100.950356,101.521401,102.091876,102.661914,103.231638,103.801154,104.370554
0.453125,100.373353,100.946715,101.519476,102.091756,102.663661,103.235284,103.806703,104.377974
0.468750,100.368579,100.943750,101.518411,102.092653,102.666554,103.240174,103.813556,104.386722
0.484375,100.364520,100.941691,101.518418,102.094760,102.670762,103.246449,103.821828,104.396885
0.500000,100.361407,100.940752,101.519691,102.098249,102.676431,103.254228,103.831608,104.408518
0.515625,100.359455,100.941130,101.522405,102.103266,102.683682,103.263602,103.842955,104.421650
0.531250,100.358863,100.943000,101.526710,102.109936,102.692607,103.274632,103.855898,104.436277
0.546875,100.359807,100.946514,101.532729,102.118353,102.703271,103.287351,103.870439,104.452367
0.562500,100.362442,100.951799,101.540560,102.128583,102.715709,103.301761,103.886547,104.469859
0.578125,100.366895,100.958954,101.550273,102.140664,102.729924,103.317834,103.904161,104.488661
0.593750,100.373268,100.968049,101.561905,102.154602,102.745891,103.335511,103.923192,104.508653
0.609375,100.381632,100.979125,101.575465,102.170372,102.763553,103.354706,103.943523,104.529691
