timestamp,tp9,af7,af8,tp10,aux1,aux2,aux3,aux4
0.000000,10.013053,10.836893,11.659783,12.480810,13.299135,14.114029,14.924897,15.731307
0.003906,10.342711,11.176055,12.008342,12.838661,13.643237,14.467225,15.287096,16.102424
0.007812,10.607619,11.445741,12.282486,13.116943,13.902434,14.729921,15.552976,16.371177
0.011719,10.783607,11.620216,12.454869,13.286654,14.046072,14.869733,15.688391,16.501629
0.015625,10.859158,11.687786,12.513692,13.335973,14.062438,14.875118,15.682080,16.482929
0.019531,10.836932,11.652362,12.464288,13.271840,13.960319,14.756882,15.547096,16.330611
0.023438,10.732761,11.532130,12.327418,13.117818,13.766356,14.544950,15.316900,16.081935
0.027344,10.572326,11.355631,12.134668,12.908724,13.518819,14.281190,15.037134,15.786487
0.031250,10.386178,11.156042,11.921921,12.683218,13.259238,14.010000,14.755086,15.494445
0.035156,10.204035,10.964796,11.722260,12.475947,13.023755,13.768848,14.509391,15.245429
0.039062,10.049474,10.805823,11.559775,12.310942,12.836139,13.580945,14.322424,15.060681
0.042969,9.935998,10.691540,11.445531,12.197646,12.703974,13.451694,14.197130,14.940411
0.046875,9.865215,10.621344,11.376494,12.130386,12.618793,13.369644,14.118935,14.866820
0.050781,9.827465,10.582899,11.337586,12.091319,12.560053,13.311586,14.062094,14.811805
0.054688,9.804712,10.555881,11.306372,12.056142,12.501917,13.250474,13.998766,14.747196
0.058594,9.775131,10.517395,11.259331,12.001209,12.421199,13.164139,13.908411,14.654701
0.062500,9.718443,10.447912,11.178325,11.910436,12.304567,13.042615,13.785036,14.532846
0.066406,9.620948,10.336485,11.055841,11.780383,12.153251,12.892230,13.640399,14.398992
0.070312,9.479239,10.184137,10.897851,11.622344,11.984108,12.735392,13.502256,14.285804
0.074219,9.301832,10.004702,10.723620,11.460913,11.826734,12.606050,13.408023,14.233020
0.078125,9.108380,9.822890,10.562469,11.329287,11.717216,12.541859,13.395383,14.276603
0.082031,8.926576,9.669947,10.448121,11.262309,11.689929,12.574886,13.492146,14.438103
0.085938,8.787313,9.577740,10.411800,11.288735,11.769237,12.723081,13.707916,14.717019
0.089844,8.719020,9.572445,10.475510,11.424436,11.963005,12.984575,14.029696,15.088272
0.093750,8.742248,9.669101,10.646920,11.668028,12.259454,13.336238,14.422637,15.505579
0.097656,8.865535,9.868124,10.916931,11.999935,12.628129,13.736946,14.835900,15.910097
0.101562,9.083370,10.154504,11.260496,12.385148,13.024871,14.134908,15.212346,16.242312
0.105469,9.376639,10.499879,11.640540,12.779153,13.399751,14.477460,15.499859,16.454359
0.109375,9.715510,10.867100,12.014249,13.135814,13.706284,14.721153,15.661680,16.519820
0.113281,10.064221,11.216426,12.340457,13.415595,13.909939,14.839882,15.683361,16.438644
0.117188,10.386897,11.512155,12.586670,13.592400,13.994131,14.829268,15.574776,16.236078
0.121094,10.653309,11.728428,12.734325,13.657644,13.962413,14.706340,15.366761,15.955922
0.125000,10.843520,11.853074,12.781252,13.620739,13.836483,14.504700,15.103298,15.649880
0.128906,10.950568,11.888813,12.740896,13.505957,13.650492,14.266324,14.831147,15.365658
0.132812,10.980717,11.851602,12.638503,13.346405,13.443003,14.031977,14.589466,15.136788
0.136719,10.951262,11.766515,12.505134,13.176475,13.248440,13.832477,14.401891,14.976616
0.140625,10.886355,11.662017,12.370771,13.024406,13.089947,13.682814,14.272913,14.877848
0.144531,10.811690,11.563814,12.257985,12.906604,12.975261,13.580451,14.189322,14.817556
0.148438,10.749077,11.489517,12.177494,12.824912,12.896450,13.508079,14.126191,14.766168
0.152344,10.711983,11.445223,12.126522,12.767402,12.833524,13.440078,14.055776,14.697947
0.156250,10.702901,11.424661,12.090282,12.712441,12.760983,13.351001,13.956972,14.600098
0.160156,10.713048,11.411092,12.046219,12.635083,12.655721,13.223954,13.822844,14.477997
0.164062,10.724452,11.381525,11.970093,12.514313,12.504368,13.056751,13.664231,14.355101
0.167969,10.714007,11.312393,11.842550,12.339467,12.308311,12.864266,13.508441,14.267466
0.171875,10.658696,11.185490,11.654742,12.114339,12.085124,12.676329,13.393258,14.254238
0.175781,10.540943,10.992933,11.411762,11.858005,11.866019,12.531572,13.357692,14.346573
0.179688,10.353047,10.740098,11.133087,11.602082,11.689788,12.468637,13.431747,14.557866
0.183594,10.099780,10.445897,10.849873,11.384973,11.594590,12.516799,13.627754,14.877916
0.187500,9.798636,10.140253,10.599615,11.244278,11.609386,12.688236,13.935480,15.272668
0.191406,9.477612,9.859269,10.419220,11.208996,11.746983,12.973810,14.322321,15.689781
0.195312,9.170925,9.638968,10.337918,11.293198,12.000275,13.343440,14.738683,16.068807
0.199219,8.913430,9.508854,10.371442,11.492550,12.342579,13.751082,15.127378,16.353602
0.203125,8.734784,9.486527,10.518712,11.784462,12.732067,14.143254,15.434915,16.503985
0.207031,8.654434,9.574423,10.761684,12.131873,13.119360,14.469224,15.622066,16.503858
0.210938,8.678375,9.759320,11.068443,12.489901,13.456674,14.690614,15.671273,16.363853
0.214844,8.798276,10.014703,11.398903,12.813981,13.706545,14.788257,15.589231,16.117921
0.218750,8.993128,10.305534,11.711976,13.067792,13.848261,14.764843,15.404085,15.814781
0.222656,9.233108,10.594491,11.972765,13.229346,13.880663,14.642814,15.158038,15.506413
0.226562,9.484908,10.848450,12.158340,13.293985,13.820766,14.458106,14.897181,15.236450
0.230469,9.717538,11.043973,12.260956,13.273736,13.698609,14.251252,14.661056,15.031336
0.234375,9.907494,11.170720,12.288115,13.193236,13.549571,14.057993,14.474441,14.896353
0.238281,10.042344,11.232188,12.259528,13.083193,13.405933,13.901580,14.343296,14.817343
0.242188,10.122071,11.243660,12.201681,12.972866,13.289644,13.788564,14.255732,14.767492
0.246094,10.157959,11.227840,12.141200,12.883241,13.207897,13.708981,14.187625,14.717234
0.250000,10.169273,11.209110,12.098454,12.822411,13.152526,13.640791,14.111325,14.644551
0.253906,10.178427,11.207601,12.082768,12.784180,13.103271,13.557415,14.005151,14.542858
0.257812,10.205597,11.234318,12.090284,12.750165,13.034125,13.436444,13.861186,14.424325
0.261719,10.263871,11.288324,12.104902,12.694911,12.921204,13.267326,13.689291,14.317660
0.265625,10.355885,11.356585,12.102130,12.592840,12.750278,13.056095,13.516243,14.260889
0.269531,10.472648,11.416510,12.054989,12.425461,12.522104,12.825872,13.380099,14.290936
0.273438,10.594789,11.440683,11.940712,12.187187,12.254282,12.612934,13.321119,14.432739
0.277344,10.696007,11.402839,11.746801,11.888395,11.979070,12.459175,13.371466,14.690747
0.281250,10.748088,11.283853,11.475093,11.554983,11.737575,12.402693,13.546219,15.045121
0.285156,10.726505,11.076520,11.142937,11.224426,11.571560,12.468687,13.837995,15.453782
0.289062,10.615536,10.788124,10.781158,10.939108,11.514655,12.662834,14.216584,15.859972
0.292969,10.411891,10.440240,10.429167,10.738313,11.584941,12.968732,14.633830,16.203619
0.296875,10.126140,10.065742,10.128157,10.650552,11.780573,13.350096,15.032711,16.433798
0.300781,9.781621,9.703585,9.913763,10.687871,12.079456,13.757278,15.358557,16.519312
0.304688,9.411019,9.392327,9.809641,10.843338,12.443075,14.136684,15.569825,16.454835
0.308594,9.051221,9.163643,9.823286,11.092267,12.823687,14.441008,15.645938,16.261190
0.312500,8.737397,9.037090,9.944905,11.396913,13.173316,14.637988,15.590424,15.979741
0.316406,8.497397,9.017106,10.149582,11.713660,13.452608,14.715768,15.428685,15.662359
0.320312,8.347498,9.092821,10.402265,12.001179,13.637644,14.683721,15.201036,15.359494
0.324219,8.290271,9.240690,10.664548,12.227852,13.723278,14.568653,14.952767,15.109289
0.328125,8.314948,9.429390,10.901848,12.376909,13.722355,14.407373,14.723665,14.930408
0.332031,8.400177,9.626001,11.089526,12.448262,13.661084,14.237450,14.539539,14.820215
0.335938,8.518617,9.802233,11.216713,12.456712,13.571712,14.088370,14.407735,14.758599
0.339844,8.642464,9.939471,11.287105,12.427015,13.484232,13.975173,14.317644,14.716247
0.343750,8.748849,10.031643,11.316627,12.386967,13.419064,13.896053,14.245928,14.665050
0.347656,8.824050,10.085381,11.328534,12.360092,13.382387,13.834405,14.165021,14.587816
0.351562,8.865742,10.117491,11.347024,12.359581,13.365196,13.764758,14.052654,14.484616
0.355469,8.882843,10.150271,11.390801,12.384860,13.346262,13.661065,13.899893,14.374045
0.359375,8.893023,10.205695,11.467961,12.421556,13.298284,13.505278,13.715553,14.288973
0.363281,8.918386,10.299669,11.573355,12.444878,13.195761,13.294028,13.525791,14.267849
0.367188,8.980178,10.437573,11.689009,12.425664,13.022706,13.041709,13.368837,14.343789
0.371094,9.093587,10.612034,11.787544,12.337748,12.778358,12.779096,13.286119,14.534307
0.375000,9.263683,10.803430,11.837899,12.164983,12.479475,12.547718,13.311906,14.834427
0.378906,9.483298,10.983056,11.812166,11.906338,12.158578,12.391215,13.464037,15.215088
0.382812,9.733327,11.118362,11.692075,11.577866,11.858447,12.345653,13.738053,15.627438
0.386719,9.985412,11.179217,11.473765,11.211041,11.623994,12.431060,14.106281,16.012127
0.390625,10.206541,11.143974,11.169789,10.847727,11.493306,12.646156,14.522194,16.311436
0.394531,10.364708,11.004108,10.807869,10.532794,11.489796,12.967584,14.929145,16.481341
0.398438,10.434582,10.766480,10.426629,10.305899,11.617219,13.353851,15.271490,16.500616
0.402344,10.402095,10.452765,10.069093,10.194150,11.858663,13.753165,15.505534,16.374790
0.406250,10.267108,10.096112,9.775263,10.207188,12.179750,14.113415,15.607783,16.134041
0.410156,10.043613,9.735669,9.575250,10.335714,12.535356,14.392066,15.578626,15.825616
0.414062,9.757452,9.410024,9.484318,10.553737,12.878378,14.563779,15.440679,15.502695
0.417969,9.441961,9.150815,9.500834,10.824066,13.168647,14.624081,15.232274,15.212486
0.421875,9.132350,8.977747,9.607482,11.105835,13.380045,14.588363,14.997773,14.986472
0.425781,8.859885,8.895943,9.775466,11.362465,13.504324,14.486550,14.777080,14.835156
0.429688,8.646933,8.896122,9.970780,11.568359,13.550870,14.354804,14.596919,14.748452
0.433594,8.503792,8.957498,10.161235,11.712955,13.542579,14.226292,14.465944,14.701430
0.437500,8.427873,9.052800,10.322771,11.801302,13.508887,14.123228,14.374781,14.663739
0.441406,8.405342,9.154350,10.443752,11.851145,13.477621,14.052086,14.300859,14.610106
0.445312,8.414860,9.239959,10.526385,11.887219,13.467615,14.003085,14.216690,14.529049
0.449219,8.432668,9.297458,10.585006,11.934110,13.483809,13.954007,14.099400,14.427439
0.453125,8.438003,9.326933,10.641652,12.009298,13.515985,13.877368,13.938998,14.329640
0.457031,8.417766,9.340240,10.719911,12.118011,13.541428,13.749125,13.743188,14.271383
0.460938,8.369520,9.357904,10.838399,12.251038,13.530899,13.556752,13.537409,14.289937
0.464844,8.302228,9.404063,11.005313,12.386066,13.456510,13.304634,13.359962,14.413123
0.468750,8.234583,9.500510,11.215258,12.492259,13.299657,13.015363,13.253345,14.650083
0.472656,8.191232,9.661067,11.449084,12.537098,13.057119,12.726501,13.253876,14.986276
0.476562,8.197647,9.887479,11.676825,12.493998,12.743847,12.483460,13.382148,15.384175
0.480469,8.274622,10.167703,11.863171,12.348998,12.391687,12.330069,13.636695,15.789670
