timestamp,ppg
0.000000,0.252035
0.015625,0.261067
0.031250,0.269354
0.046875,0.276753
0.062500,0.283141
0.078125,0.288421
0.093750,0.292526
0.109375,0.295427
0.125000,0.297134
0.140625,0.297696
0.156250,0.297200
0.171875,0.295767
0.187500,0.293546
0.203125,0.290700
0.218750,0.287402
0.234375,0.283817
0.250000,0.280100
0.265625,0.276378
0.281250,0.272748
0.296875,0.269270
0.312500,0.265969
0.328125,0.262835
0.343750,0.259827
0.359375,0.256886
0.375000,0.253939
0.390625,0.250913
0.406250,0.247746
0.421875,0.244395
0.437500,0.240847
0.453125,0.237117
0.468750,0.233257
0.484375,0.229354
0.500000,0.225520
0.515625,0.221893
0.531250,0.218623
0.546875,0.215864
0.562500,0.213766
0.578125,0.212466
0.593750,0.212077
0.609375,0.212686
0.625000,0.214350
0.640625,0.217094
0.656250,0.220908
0.671875,0.225755
0.687500,0.231573
0.703125,0.238274
0.718750,0.245754
0.734375,0.253892
0.750000,0.262555
0.765625,0.271601
0.781250,0.280879
0.796875,0.290232
0.812500,0.299497
0.828125,0.308508
0.843750,0.317097
0.859375,0.325099
0.875000,0.332357
0.890625,0.338723
0.906250,0.344070
0.921875,0.348295
0.937500,0.351323
0.953125,0.353118
0.968750,0.353680
0.984375,0.353051
1.000000,0.351309
1.015625,0.348569
1.031250,0.344974
1.046875,0.340686
1.062500,0.335878
1.078125,0.330719
1.093750,0.325367
1.109375,0.319957
1.125000,0.314596
1.140625,0.309354
1.156250,0.304264
1.171875,0.299325
1.187500,0.294505
1.203125,0.289748
1.218750,0.284985
1.234375,0.280142
1.250000,0.275157
1.265625,0.269981
1.281250,0.264594
1.296875,0.259005
1.312500,0.253261
1.328125,0.247438
1.343750,0.241646
1.359375,0.236019
1.375000,0.230704
1.390625,0.225858
1.406250,0.221633
1.421875,0.218171
1.437500,0.215592
1.453125,0.213992
1.468750,0.213436
1.484375,0.213956
1.500000,0.215552
1.515625,0.218196
1.531250,0.221831
1.546875,0.226377
1.562500,0.231733
1.578125,0.237783
1.593750,0.244400
1.609375,0.251442
1.625000,0.258764
1.640625,0.266209
1.656250,0.273617
1.671875,0.280823
1.687500,0.287662
1.703125,0.293968
1.718750,0.299583
1.734375,0.304356
1.750000,0.308157
1.765625,0.310877
1.781250,0.312435
1.796875,0.312787
1.812500,0.311924
1.828125,0.309879
1.843750,0.306724
1.859375,0.302566
1.875000,0.297543
1.890625,0.291814
1.906250,0.285551
1.921875,0.278927
1.937500,0.272103
1.953125,0.265222
1.968750,0.258398
1.984375,0.251712
